Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
1.2000000000e+001,6.3576422138e+000,5.3076060728e+000,3.9646857973e+000,1.8135851429e+000,6.8182729367e+000,1.0173027479e+001,9.8824413427e+000,4.5072070310e+000,8.2009375891e+000,7.8757342061e+000,5.2037458309e+000,5.3365214490e+000,5.3558897420e-001,2.7932841648e+001
1.2500000000e+001,9.2718321446e+000,4.5014190641e+000,5.3241886484e+000,2.3449267839e+000,1.1542589661e+001,1.2475882879e+001,1.2559420402e+001,6.5859688831e+000,1.6623475433e+001,3.1074303945e+001,2.2638432017e+001,1.7214567554e+001,5.1259907948e+004,3.7963135296e+001
1.3000000000e+001,1.7571616432e+001,9.3583530236e+000,1.4787640023e+001,5.3609154747e+000,2.0031765435e+001,1.2198068278e+001,2.0840073573e+001,1.0896222759e+001,2.7771430938e+001,4.1295918998e+001,3.1419385282e+001,3.4124569793e+001,4.9035616392e+004,4.4293984940e+001
1.3500000000e+001,2.0212750930e+001,6.6870185029e+000,1.8162856036e+001,5.4313639843e+000,1.7786793774e+001,1.4476867151e+001,3.5390855478e+001,1.1206203939e+001,3.1130608457e+001,3.7387438190e+001,3.2173931182e+001,2.4947558971e+001,1.8784910340e+004,4.4102811083e+001
1.4000000000e+001,1.6204865312e+001,5.0235076871e+000,7.7973081268e+000,6.4905942648e+000,1.1761736166e+001,1.1380993605e+001,1.6293831532e+001,6.4933461169e+000,1.3889476412e+001,1.1907161120e+001,7.7618075948e+000,2.8061820064e+001,1.0002572487e+004,3.9032656158e+001
1.4500000000e+001,1.8301313338e+001,4.5867966620e+000,7.8834494263e+000,5.5732760273e+000,6.7787524497e+000,1.7171342255e+001,2.2897926794e+001,7.0154268873e+000,1.3245232899e+001,8.4328048945e+000,6.0433186456e+000,1.2260477678e+001,2.0079240769e+004,2.6490676378e+001
1.5000000000e+001,1.1477265129e+001,3.6806794145e+000,5.7293618183e+000,3.7586315269e+000,7.7175881582e+000,9.9686710798e+000,1.5583383147e+001,4.3585389009e+000,7.5484749720e+000,1.3269475240e+001,7.5433429921e+000,1.0177888322e+001,8.4181982335e+003,2.4115105147e+001
1.5500000000e+001,1.0513347548e+001,5.3240285687e+000,5.2609714955e+000,3.5739353578e+000,6.8000968166e+000,1.8539025025e+001,1.4691418499e+001,4.6799427857e+000,1.4792916851e+001,9.9109142732e+000,7.3963624152e+000,1.2728431067e+001,1.1107451733e+004,4.6451801426e+001
1.6000000000e+001,1.2070799441e+001,3.5581236167e+000,6.7592382268e+000,3.7549337857e+000,7.2644552926e+000,1.0399116190e+001,1.5139723180e+001,7.0777591499e+000,1.0399570964e+001,7.1907539757e+000,4.7537383422e+000,1.0960437589e+001,2.4072024197e+002,1.6723675811e+001
1.6500000000e+001,1.4248752204e+001,3.5686763654e+000,5.7115710584e+000,3.3069176985e+000,9.0509336258e+000,2.2331330255e+001,1.8042100109e+001,5.4173828498e+000,1.6194414906e+001,4.4672122349e+000,3.5746990309e+000,7.9875148747e+000,1.0561390936e+001,2.4791102469e+001
